Protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	mean_control_log2_LFQ intensity IgG_ChIP_01	mean_control_log2_LFQ intensity IgG_ChIP_02	mean_control_log2_LFQ intensity IgG_ChIP_03	mean_control_log2_LFQ intensity IgG_ChIP_04	mean_treatment_log2_LFQ intensity TRF2_ChIP_01	mean_treatment_log2_LFQ intensity TRF2_ChIP_02	mean_treatment_log2_LFQ intensity TRF2_ChIP_03	mean_treatment_log2_LFQ intensity TRF2_ChIP_04	mean_log2_fold_change	std_log2_fold_change	mean_-log10_pval	std_-1og10_pval
Q96QC0	PPP1R10	Serine/threonine-protein phosphatase 1 regulatory subunit 10	1	32	32	32	41.9	41.9	41.9	99.057000000000002	940	20.697311758537811	20.732080892693268	21.004930870960809	20.923755224325909	28.352497239129121	27.785002892957699	28.39464330750835	28.485159467652011	7.4148060401823477	0.424403852335551	6.1059222736222756	0.4990997178444741
A0A6I8PIV1;Q9P2J5;A0A6I8PRS0;A0A6I8PL42;B4DER1;A0A6I8PIT3;Q9P2J5-2;A0A6I8PS05;A0A6I8PLB8;A0A6I8PLB3;A0A6I8PIP7;Q9P2J5-3;A0A6I8PTV8;A0A6I8PRU9;A0A6I8PRP1	LARS	Leucine--tRNA ligase, cytoplasmic	15	46	46	46	46.3	46.3	46.3	134.34	1175	22.16404514052266	18.380892226314959	21.3452168059362	22.02627757641099	28.246129156254518	27.530514333045119	27.95099250248667	28.152430535991709	6.9909086946483043	0	3.6245509855635611	0
Q9H816;A0A3B3ITQ0;A0A3B3IT16	DCLRE1B	5 exonuclease Apollo	3	25	25	25	57.3	57.3	57.3	60.000999999999998	532	21.03682448268075	21.715600340441039	21.609907508873722	22.864886697100129	28.779346299828301	28.27092868517235	28.718622234874761	29.029705954648961	6.8928460363571844	0.42805860072688862	4.7720229213016578	7.8218172250630921E-2
P42167;G5E972;P42167-2;P42167-3	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin	4	15	15	4	46.9	46.9	10.1	50.67	454	18.30456522855679	20.147930304295301	20.312187207501552	19.300616212780088	26.015632834112651	26.3582526511738	26.510643094595618	26.625891629449558	6.8612803140494734	0	5.1378337387377666	0
Q9C0F1;Q9C0F1-2;D6RGX6;D6RC25;D6RBX1	CEP44	Centrosomal protein of 44 kDa	5	15	15	15	50.8	50.8	50.8	44.139000000000003	390	20.792670543693301	21.948182486775991	21.308972576225091	20.819579118193609	27.742397231509599	27.543994793453901	27.93455231132647	27.973884586221281	6.581356049405815	9.9809877288604271E-2	5.2919105251042078	1.153961598432266
Q8IY92;Q8IY92-2	SLX4	Structure-specific endonuclease subunit SLX4	2	43	43	43	33	33	33	200.01	1834	20.16009532268323	19.50627266489629	21.122853593445381	22.60797021934734	27.4361095159808	27.01754551839781	27.399418623270289	27.61666774133078	6.5181373996518639	0.35707997552663501	3.6590181451547572	0.22620139017468199
Q92889;Q92889-2;I3NI48	ERCC4	DNA repair endonuclease XPF	3	30	30	30	38.299999999999997	38.299999999999997	38.299999999999997	104.48	916	20.668054298484719	21.347436644021609	21.657233156121858	20.840277481372649	27.714108187078171	26.82432386617522	27.03149491988021	27.297278601262359	6.0885509985987829	7.3839509822188468E-2	5.1112424118664501	0.97083296553210319
Q9NQS7;Q9NQS7-2;E9PM67	INCENP	Inner centromere protein	3	29	29	29	40.4	40.4	40.4	105.43	918	21.560215155708239	21.61540370773487	21.140035355666559	22.07151586815381	27.631661444083171	27.220388513414662	27.80156331966824	28.079027915401159	6.0863677763259361	0.9431719431415414	4.5768384611539519	0.96509681827730742
A0A7P0T890;Q03001;F6QMI7;E9PHM6;F8W9J4;Q03001-14;Q03001-8;A0A0U1RQJ2;A0A494C1D7;H0YC82;Q03001-10;E7ETB9;A0A494C073;Q5T0V7;Q03001-3;Q03001-9;Q03001-13;Q6P0N6	DST	Dystonin	18	40	40	40	6.5	6.5	6.5	888.37	7818	20.76814966513458	20.822294155960151	20.941874534690569	21.115439809575921	26.817874832776599	26.516365751767019	26.61736858906907	26.898852477159831	5.8006758713528308	0.77349919369556952	5.4532620379581411	1.41232496467496
O60675;O15525;B0QY71;I3L2F8;B0QY70;Q9ULX9-2;Q9ULX9	MAFK	Transcription factor MafK	7	10	10	10	58.3	58.3	58.3	17.523	156	21.863769005845452	19.268832604492601	20.902575705827431	21.230955964056768	26.783192696671069	26.006266660430811	26.526788747251739	26.688591815831629	5.6846766599907506	0.2392631029814152	4.0123797849292853	1.568926410700467
E9PHV5;P28290;P28290-2;P28290-3;E7EUL7;H7BZ26	SSFA2	Sperm-specific antigen 2	6	30	30	30	30	30	30	136.13999999999999	1237	21.95843943404892	19.495624748037141	19.462638062050129	21.451257549572201	26.164958163412471	25.73848546389754	26.450386932148032	26.450371198948751	5.6090604911746054	0.44692921163611798	3.6019189797787479	0.77610241848593786
Q13415	ORC1	Origin recognition complex subunit 1	1	24	24	24	34.4	34.4	34.4	97.34899999999999	861	21.75938276161984	20.104797338159479	21.48832863490551	21.015320547728201	27.09938810488957	25.393653616765722	27.051858294612838	27.235714510527121	5.6031963110955516	0.16787876377254859	3.9632887116848869	0.27139324007310373
P62140;C9JP48;E7ETD8;C9J9S3	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase	4	14	14	5	52.9	52.9	22	37.186	327	23.111429900367948	23.34908357220926	21.501302682430762	21.529703987945759	27.75716341878756	28.25795311197566	27.87671974010804	27.9313994935921	5.5829289053774112	0.35114512892781902	4.3219738626067992	0.6651552407211434
P49207	RPL34	60S ribosomal protein L34	1	5	5	5	29.1	29.1	29.1	13.292999999999999	117	22.107226821351372	27.958092011843931	21.308374582515519	21.44994158676031	28.591100727515201	29.08321939929759	28.18555783555496	28.707376353283919	5.4359048282951372	0.4440802811640413	1.786392556923577	2.6305981201769909E-2
P49116;H7C3L1;C9JMI6;H7C3R1;C9J2Y1	NR2C2	Nuclear receptor subfamily 2 group C member 2	5	19	19	1	48	48	2	65.414000000000001	596	21.24494142319411	20.406727002829552	21.120674222334131	21.06158710894033	26.481561108972649	25.882340234840189	26.360899983242241	26.585918178347349	5.3691974370260818	0.27029719486770831	4.594734497072098	1.132075804165424
P00390-2;P00390-3;P00390;P00390-5;P00390-4;A0A2R8YF59;H0YC68	GSR	Glutathione reductase, mitochondrial	7	11	11	11	33.200000000000003	33.200000000000003	33.200000000000003	51.7	479	22.24220411538689	19.97385873710099	21.07259610975974	21.30900431721156	26.253009672450759	26.10189426373973	26.684718448121838	26.95593257843835	5.3494729208228726	0.82361111778927942	4.1631880806930441	1.899923459292318
Q9NS87;Q9NS87-2;C9JKA9;Q9NS87-4;D6RCT7;Q9NS87-3;H7C1K7;H7BZT2	KIF15	Kinesin-like protein KIF15;Kinesin-like protein	8	34	34	34	28.5	28.5	28.5	160.16	1388	19.623710056938471	19.767929023133469	21.199478164266239	22.329389736088441	25.785464441609221	26.68338038918629	27.071324544805488	24.66378349033878	5.3208614713782909	0.52738757010864512	3.116319545334874	1.0097331682817501
Q16778;P33778;P23527;P06899;Q8N257;Q6DRA6;Q6DN03	HIST2H2BE	Histone H2B type 2-E;Histone H2B type 1-B;Histone H2B type 1-O;Histone H2B type 1-J;Histone H2B type 3-B	7	8	2	2	50	7.9	7.9	13.92	126	20.639954103779331	20.443717857260982	27.32251134212672	21.078427102099411	28.28475951326207	25.62647661311015	28.26082673910037	28.435553273221789	5.2807514333569827	0.3604700618642766	1.5573650484275949	9.3934403469482231E-3
Q86WR7;D3DRR9;Q86WR7-2;X6RHS9	PROSER2	Proline and serine-rich protein 2	4	19	19	19	50.8	50.8	50.8	45.801000000000002	435	20.653448707653919	22.276743019115969	21.325806343326779	21.631997811790871	26.68899191614598	26.26502808373267	26.986634041889261	27.063425529932971	5.2790209224533333	0.82013870173970305	3.8390340010696899	1.047594017189468
A0A087WSW9;A0A087WSY9;Q16881-4;Q16881-3;Q16881;E2QRB9;E9PIR7;F8W809;A0A182DWI3;Q16881-7;Q16881-5;Q16881-2;Q16881-6;E9PKD3;A0A0B4J225;E9PIZ5	TXNRD1	Thioredoxin reductase 1, cytoplasmic	16	12	12	12	33.200000000000003	33.200000000000003	33.200000000000003	60.078000000000003	548	20.847496863166739	20.66744178625687	21.51194848426158	21.649715566480481	26.377526964450649	25.940691758871811	26.715418061002261	26.545085488761629	5.225529893230175	0.88322651007033204	4.196560265769401	1.344398052556498
E9PIN3;Q9UBU9;B4E227;Q9UBU9-2;E9PLA7	NXF1	Nuclear RNA export factor 1	5	9	9	9	20.399999999999999	20.399999999999999	20.399999999999999	68.106000000000009	603	27.202658035589771	22.231561249262509	21.76159778087704	21.481249354193469	27.751364464504942	28.135210220796889	28.792376216995461	28.72214514212445	5.181007406124734	0.62246395111273944	1.9369321175317511	0.1031266037873768
Q5T7C4;P09429;B2RPK0	HMGB1	High mobility group protein B1;Putative high mobility group protein B1-like 1	3	6	5	4	31	25.9	18.399999999999999	18.311	158	21.898941739018909	21.412544990954999	20.918333718839179	21.429626646924611	26.086913039482031	26.800699688968471	26.234015577919241	26.731173991776839	5.0483388006022203	0.49597827342370682	4.2493257748744533	1.472051736246105
J3QLE5;P14678-2;P63162;P14678;P63162-2;P14678-3;J3KRY3;S4R3P3	SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein N	8	7	7	7	31.4	31.4	31.4	17.545999999999999	169	21.848939371169589	19.87913139497844	27.0604393287893	21.923070157845491	27.888844768789522	27.41956934015824	27.595980297179121	27.842061401612892	5.0087188887392404	0.73931026535775191	1.692197141052473	0.23075903205839629
Q14687-2;Q14687-3;Q14687;H0Y613;H7C3B5;C9JLW9	GSE1	Genetic suppressor element 1	6	22	22	22	30.9	30.9	30.9	125.84	1113	18.870034048842019	21.04721971850212	21.72161754227098	20.55806339344058	25.51571932576034	25.23691899205507	25.630870329236672	25.813208719389511	4.9999456658464716	0.91413671374941297	3.436401601329349	0.72515269088240697
O60502;O60502-4;O60502-2;O60502-3;H7C3X0	MGEA5	Protein O-GlcNAcase	5	28	28	28	39.799999999999997	39.799999999999997	39.799999999999997	102.91	916	20.782033940467961	22.825812375754261	22.099612090530119	22.11993824286364	27.053723580804011	26.600737102144969	26.985005779001451	27.178071667604272	4.9975353699846812	0.28737004891562051	3.66519118404582	0.86828867866769399
A0A087WXN9;Q765P7;Q765P7-2;I3L2G4	MTSS1L	MTSS1-like protein	4	12	12	12	23.7	23.7	23.7	79.796999999999997	746	21.37179943821954	20.083791289371849	21.427465680908949	21.273298464107398	26.15114369819803	25.583165654032751	26.062952268917069	26.166912697496841	4.9519548615092406	0.79545561476617466	4.2936271352097108	1.2387798291677281
H0Y6I0;Q13439-3;Q13439-4;Q13439;Q13439-5;C9JHJ5	GOLGA4	Golgin subfamily A member 4	6	43	43	43	22.4	22.4	22.4	246.6	2099	20.79265051119906	21.884679321765962	20.86363074660991	22.3458976208229	25.46085855634794	26.690058308167838	25.908825592721058	27.175504170891038	4.8370971069325082	0.36479164839156047	3.5704162338319989	0.48518416601325137
Q9UJZ1;Q9UJZ1-2;A0A087WYB4;F2Z2I8	STOML2	Stomatin-like protein 2, mitochondrial	4	12	12	12	56.7	56.7	56.7	38.533999999999999	356	23.67033640612437	23.639645418945889	23.83691946890513	21.804003365164402	27.697699895234258	27.922353290557002	28.465560115144459	28.071017599297239	4.8014315602732944	0	4.1060486384622239	0
Q9UKL0;H0YNY4	RCOR1	REST corepressor 1	2	11	11	6	29.9	29.9	18.399999999999999	53.326999999999998	485	21.705230377666169	21.58454509383434	21.40852375742503	20.770236501647901	26.252305949565439	25.401291777499988	26.42021210917796	26.578883078871311	4.7960392961353167	0.49126214193828011	4.6315478685006246	0.79984947881533508
Q9BY44-3;Q9BY44;F8WAE5;Q9BY44-4;Q9BY44-2;C9IZE1;H7C5Q3;H7C5R5;F8WF18;F8WAT3	EIF2A	Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A, N-terminally processed	10	18	18	18	43.9	43.9	43.9	62.287999999999997	560	21.35536995079184	19.905716357887691	20.912719115250951	21.361688565769629	26.093395802318419	25.13743022600914	25.666901190901012	25.763496466053532	4.7814324238954988	0.17333902782159641	4.5004410426743764	1.4972778192354861
Q13416;C9JK08;B8ZZ80	ORC2	Origin recognition complex subunit 2	3	11	11	11	25.3	25.3	25.3	65.971000000000004	577	20.54599299096239	19.657117812147948	21.40761600881849	21.12065579196144	25.892890918921111	24.94619166449381	25.313993738833329	25.597273996535339	4.7547419287233303	0.6118329109898798	3.8714743492242198	0.89478351195526828
P24468;P24468-3;P24468-2;F1DAL7;F1DAL9;P10589;H3BTC2	NR2F2	COUP transcription factor 2;COUP transcription factor 1	7	8	8	7	21.3	21.3	19.3	45.571000000000012	414	20.977815826423441	20.405212568322479	21.98594507437932	21.297120384332011	26.21624926026896	25.54936659522695	25.76814918308655	26.00797801727316	4.7189123005995901	0.57992027750625563	4.478543635849352	0.31875894965134499
Q9UFC0;H7C5S6;F8WDB4;H7C5N7	LRWD1	Leucine-rich repeat and WD repeat-containing protein 1	4	11	11	11	24.9	24.9	24.9	70.86	647	20.904088192104091	20.346670451782849	20.810591625343861	21.030949322030871	25.8397089591355	24.961772203270641	25.61003490743812	25.49090741693071	4.7025309738783241	0.42698677845079969	4.4060936951983303	0.49947376535709748
Q9Y314;A0A075B6F9;M0R3B2;A0A075B797;M0R1K2;M0QX85;M0R1T7	NOSIP	Nitric oxide synthase-interacting protein	7	9	9	9	36.5	36.5	36.5	33.171999999999997	301	20.38884991722286	20.149400072535229	21.121395425769101	19.918632293282371	24.81933751797207	24.98102508799477	25.174704461336091	25.189295829743571	4.6465212970592411	0.46678368017112848	4.4285325413580114	0.84230222504194696
A0A140TA49;A0A140TA32;A0A0G2JPR0;P0C0L4-2;P0C0L4;A0A140TA44;A0A140TA29;F5GXS0;A0A0G2JL54;P0C0L5;A0A3B3ISA6	C4A	Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain;Complement C4-B;Complement C4 beta chain;Complement C4-B alpha chain;C4a anaphylatoxin;C4b-B;C4d-B;Complement C4 gamma chain	11	7	7	6	5.5	5.5	4.8	187.79	1698	21.517056446429599	20.475860029504339	21.14891583330348	21.234760092058021	25.799069720246571	25.247352143913631	25.894279527759139	25.869948467404459	4.6085143645070916	0.65525455368012075	4.2853288623140102	1.549833417085354
O15504;C9JYA1;O15504-3;O15504-2;B4DT96	NUPL2	Nucleoporin-like protein 2	5	6	6	6	18.399999999999999	18.399999999999999	18.399999999999999	44.871000000000002	423	21.236144476373429	20.98812145103172	20.97428652894466	22.68097665010481	26.02341647306584	25.485973235410029	26.300912903811689	26.462138773226702	4.5982280697649101	1.0093739693421211	3.708506818066938	1.3810515845170499
Q9UBD5-2;Q9UBD5;Q9UBD5-3	ORC3	Origin recognition complex subunit 3	3	14	14	14	27.8	27.8	27.8	82.323999999999998	712	21.741426023654778	20.045945867432689	20.852148365197358	21.122265009234919	25.81582457893904	25.095188057856799	25.363993546128938	25.854931713088462	4.5920381576233753	1.039558755122229	3.3433357476831338	1.101587456304602
Q71UI9;P0C0S5;C9J0D1;A0A494C189;Q71UI9-4;Q71UI9-2;Q71UI9-3;C9J386;A0A3B3IS11;Q9BTM1-2;Q71UI9-5	H2AFV	Histone H2A.V;Histone H2A.Z;Histone H2A	11	5	3	3	53.9	41.4	41.4	13.509	128	20.65158616446034	20.19812397494929	21.622522410029909	27.969829144499521	26.88262010261279	27.155570243522281	27.064145411994179	27.62387021802159	4.571036070552946	0.37174342738850058	1.312143120363185	3.4071862420975728E-2
O75367-3;O75367;O75367-2;B4DJC3;D6RCF2	H2AFY	Core histone macro-H2A.1;Histone H2A	5	8	8	7	31.5	31.5	27	39.488	371	21.630332617061001	19.680426750946211	21.322129734070021	22.351304842580841	26.010050318164289	25.74816827585909	25.587893316461219	25.828712166479129	4.5476575330764133	0.78722442154695915	4.047149332904735	2.0915219862267191
Q7Z2K8;Q7Z2K8-2	GPRIN1	G protein-regulated inducer of neurite outgrowth 1	2	12	12	12	20.2	20.2	20.2	102.4	1008	21.00502293311003	21.020695209490491	21.076056982366339	22.200648905528691	25.368330074060861	25.591179216096279	26.302064185190929	26.217118749320939	4.5440670485433694	0.27692844788386711	4.4111483456529106	1.384434042495954
P62917;E9PP36;E9PKZ0;E9PKU4;G3V1A1	RPL8	60S ribosomal protein L8	5	5	5	5	18.7	18.7	18.7	28.024000000000001	257	24.362857223615769	25.590693945552339	21.334498492414351	21.463094481968049	27.455836018908681	28.309343050692849	27.802118237954801	27.340025694758189	4.539044714691002	0.1917616074892072	2.1642812216113669	4.4609753207315042E-2
E5RGZ2;H0YKJ1;Q6NT76-2;Q6NT76-3;Q6NT76;Q6NT76-5;Q6NT76-4;H0YLF2;E5RHH9;A0A0C4DGS8;A0A0A0MTK8;F5H0K0;A0A0A0MQU7;E0YMJ8;A0A087WZC2;P20823;U3KQS6;P35680-2;P20823-2;P35680;P20823-3;P35680-4;P20823-6;P35680-3;P20823-7	HMBOX1	Homeobox-containing protein 1	25	6	6	6	17.899999999999999	17.899999999999999	17.899999999999999	43.709000000000003	386	21.544229912681288	22.153016826647828	21.208867101536612	21.285750130441912	26.07861064119054	25.532254607808401	26.114519035307961	26.380783259312771	4.4785758930780091	0.14246104050397251	4.3363406701009177	1.538420031810799
Q53HL2	CDCA8	Borealin	1	10	10	10	48.2	48.2	48.2	31.323	280	22.289375892378981	20.570902232562169	21.2868737958011	21.12008637567288	25.78421667290532	25.632563063492441	25.79320142432325	25.782567964040648	4.4313277070866341	0.89898881662553387	5.2942266113617116	2.4882556705490719
Q9Y265;Q9Y265-2;E7ETR0;H7C4G5;J3QLR1;H7C4I3	RUVBL1	RuvB-like 1	6	13	13	13	40.6	40.6	40.6	50.226999999999997	456	20.80695547391063	22.365207221224349	21.327618426949201	21.955864115761631	25.961728052427041	26.154720781692269	25.806218012850309	26.092549244904539	4.3898927135070851	0.7317436043956892	4.3680818681465894	1.731730944861035
O94842-3;O94842-2;O94842;A0A669KB71;O15405-2;O15405;Q96NM4-3;Q96NM4;Q96NM4-4;Q96NM4-2;O94900	TOX4	TOX high mobility group box family member 4	11	8	8	8	19.7	19.7	19.7	63.593999999999987	595	21.68298232378568	21.098305204506541	21.768787753611949	21.707238008042101	26.046227102504862	25.25346059638467	26.01503725923401	26.28721918660219	4.3361577136948632	0.71458984536085213	4.3573121998346913	0.33999892733978521
O60934;A0A0C4DG07;E5RGU1;E2QRP0;A0A087X1V5;E5RGR7;E5RGN7	NBN	Nibrin	7	19	19	19	30.5	30.5	30.5	84.957999999999998	754	21.62304073558289	20.255260182375359	21.274111473847022	21.450039877240521	25.78379218558981	24.62583590434706	25.723044062212061	25.79503628351851	4.3313140416554097	0.43616138538146421	3.9069118599478951	0.76983930768112852
Q9C0C2;Q9C0C2-2;A0A2R8Y5C4;E9PKK0;E9PKE7	TNKS1BP1	182 kDa tankyrase-1-binding protein	5	42	42	42	32	32	32	181.79	1729	21.792740008274329	20.397593123132719	22.256250726786931	22.147279701314421	25.722158173952501	25.842061401612892	26.143417937340551	26.07093573613118	4.2961774223821818	0.70682444559247348	4.1972645873407437	1.3515651812324081
P07992;P07992-4;P07992-2;P07992-3;K7ES46;K7EP14;K7ER89;K7ER60;K7EMT9;K7EJW9;K7EK97	ERCC1	DNA excision repair protein ERCC-1	11	10	10	10	33.700000000000003	33.700000000000003	33.700000000000003	32.561999999999998	297	21.346708814867789	21.736343663158159	21.16086007502491	20.861637798581029	25.70215978888017	25.276184054281821	25.516891698728841	25.68233584102369	4.2680052578206533	0.47129947583486759	2.8032873375711151	0.31704157638259328
B8ZZN6;P63165;B8ZZJ0;B9A032;B8ZZ67;G2XKQ0;P63165-2	SUMO1	Small ubiquitin-related modifier 1	7	5	5	5	30.1	30.1	30.1	16.645	146	24.336199253541778	21.838446162926601	21.054910817100129	21.751627315231971	26.79835293910152	26.182890014012109	26.131849269499622	26.736086839212241	4.2169988782562493	0.44484531839723968	2.5685481628603539	0.28702980125959859
Q13185;C9JMM0;B8ZZ43;S4R2Y4	CBX3	Chromobox protein homolog 3	4	6	6	5	30.1	30.1	21.3	20.811	183	21.061673083292352	20.338052534037431	24.12044419479513	21.97202852493454	25.557715632927891	25.676644517143568	26.219520993357278	26.877480547197521	4.2097908383917053	0.47243000818122871	2.280722941035406	0.41635825135905241
P50750;P50750-2;F8VXD2;F8VZZ0;J3QSD7;A0A2R8Y7W5;A0A2R8YF61;F5H6Z0;A0A2R8YD28;A0A087WZU2;A0A2R8YEB7;E5RGN0;E7EUK8;Q07002-3;A0A087X209;F8VTV8;H0YAZ9;F8VWX7;A0A2R8Y644;F8VYH9;F8VZ51;E7ESI2;K7EJ83;X6RE90;Q00536-2;A0A2R8Y4Z0;Q00537;Q9BVE2;Q00535;Q00536;P11802-2;Q9NYV4-3;Q14004-2;Q9NYV4-2;Q9NYV4;Q00536-3;O94921;Q07002;O94921-2;Q00537-2;Q96Q40;Q96Q40-5;O94921-3;Q96Q40-3;Q96Q40-4;Q96Q40-6;Q00534;Q00526;P11802;Q00535-2;Q14004	CDK9	Cyclin-dependent kinase 9	51	8	8	7	23.1	23.1	21	42.777000000000001	372	20.60224429046248	21.84311323407308	21.726759771816671	21.55332095092405	25.250102340971711	25.56729394391752	25.46466464788573	25.860412606036739	4.1042588228838559	0.14584473693881009	4.6463825257390736	1.677065354912562
Q5JRA6-2;Q5JRA6;Q5JRA6-4;A0A0A0MRH6	MIA3	Melanoma inhibitory activity protein 3	4	11	11	11	6.3	6.3	6.3	206.89	1848	22.029815337625621	21.463068932437061	21.248525237506001	21.070072426676969	25.00765729245968	24.999766428653629	25.312713480765339	26.671011667096622	4.0449167336824052	0.57855998793942376	3.528524735829826	0.33829398490748941
Q9BUL8;C9J363;C9J5C3;C9J6F3;C9J932;H7C5M9;C9JSA3;C9JND6	PDCD10	Programmed cell death protein 10	8	4	4	4	21.7	21.7	21.7	24.701000000000001	212	21.37956568912626	19.032442744462269	20.87390918194783	21.65558104401418	25.075370116974479	24.235422363502199	25.071733703923631	24.693545234346729	4.0336431897991227	0.57639581854368394	3.1307469588042069	0.46339212555368398
Q96HA7;Q96HA7-2;A0A087X1F6	TONSL	Tonsoku-like protein	3	10	10	10	11.8	11.8	11.8	150.93	1378	21.04464989375963	20.05337302317572	20.977374805779789	21.020678604648449	24.619021241103749	24.532016745388191	24.77751017586764	25.013675021265922	3.961536714065482	0.32706486598076812	5.0279797717779351	1.293235890526595
